NUMBER0,Supply_WSF_IS_Num,Supply Facility,Supply ID,Supply Type Code,D_SOURCE_FLAG,TREATMENT_STAT_CD,WS Activity Status,ACTIVITY_STATUS_CD,Supply FedID,Receiving_WSF_IS_Num,Receiving Facility,Receiving ID,Receiving Type Code,Receiving Activity Status,Receiving FedID,TINWSFF_IS_NUMBER,TINWSYS_IS_NUMBER,Fed Type
CA0103039,17102,WELL 04,004,WL,Y,,I,I,17102,6583,WELL 04 - TREATED - INACTIVE,005,TP,I,6583,6904,2,NP
CA0103040,24716,COMBINED TREATED ENTRY POINT,007,SS,N,,A,A,24716,24717,DISTRIBUTION SYSTEM,DST,DS,A,24717,13831,3,C
CA0103040,24718,UPPER SPRING,001,SP,Y,N,A,A,24718,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13828,3,C
CA0103040,24719,CISTERN SPRING,002,SP,Y,N,A,A,24719,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13829,3,C
CA0103040,24720,LOWER SPRING,003,SP,Y,N,A,A,24720,24716,COMBINED TREATED ENTRY POINT,007,SS,A,24716,13830,3,C
CA0103041,1647,WELLHEAD CHLORINATION,002,TP,N,,A,A,1647,24721,DISTRIBUTION SYSTEM,DST,DS,A,24721,22640,4,C
CA0103041,12346,WELL 01,001,WL,Y,T,A,A,12346,1647,WELLHEAD CHLORINATION,002,TP,A,1647,1667,4,C
CA0103041,65859,EBMUD CONNECTION,003,CC,Y,T,A,A,65981,24721,DISTRIBUTION SYSTEM,DST,DS,A,24721,22639,4,C
CA0104010,1646,BLENDING TANK,006,TP,N,,I,I,1646,24728,DISTRIBUTION SYSTEM,DST,DS,I,24728,12723,11,NP
CA0104010,12345,WELL 08,003,WL,Y,T,I,I,12345,1646,BLENDING TANK,006,TP,I,1646,8933,11,NP
CA0104010,54916,WELL 9,009,WL,Y,,I,I,54937,1646,BLENDING TANK,006,TP,I,1646,12722,11,NP
CA0105002,1643,WELL 01 - TREATED,002,TP,N,,A,A,1643,24732,DISTRIBUTION SYSTEM,DST,DS,A,24732,22641,15,NC
CA0105002,12704,WELL 01,001,WL,Y,T,A,A,12704,1643,WELL 01 - TREATED,002,TP,A,1643,1664,15,NC
CA0105003,63148,WELL 2,004,WL,Y,N,A,A,63221,1628,WELLHEAD CHLORINATION,002,TP,A,1628,17636,16,NTNC
CA0105003,1628,WELLHEAD CHLORINATION,002,TP,N,,A,A,1628,24733,DISTRIBUTION SYSTEM,DST,DS,A,24733,17637,16,NTNC
CA0105008,53289,SFPUC PLEASANTON WELLS,001,CC,Y,N,A,A,53301,24735,DISTRIBUTION SYSTEM,DST,DS,A,24735,10199,18,C
CA0105009,64658,HAULED WATER,003,NP,Y,,A,A,64758,24736,DISTRIBUTION SYSTEM,DST,DS,A,24736,14732,19,NTNC
CA0105010,1652,DEL VALLE REGIONAL PARK WTP,002,TP,N,,A,A,1652,24738,DISTRIBUTION SYSTEM,DST,DS,A,24738,22643,20,NC
CA0105010,24737,LAKE DEL VALLE,001,IN,Y,T,A,A,24737,1652,DEL VALLE REGIONAL PARK WTP,002,TP,A,1652,1672,20,NC
CA0105012,1637,WELL 01 - TREATED,003,TP,N,,A,A,1637,24740,DISTRIBUTION SYSTEM,DST,DS,A,24740,22644,22,NC
CA0105012,1638,WELL 02 - TREATED,004,TP,N,,A,A,1638,24740,DISTRIBUTION SYSTEM,DST,DS,A,24740,22645,22,NC
CA0105012,12691,WELL 01 (HEADQUARTERS),001,WL,Y,T,A,A,12691,1637,WELL 01 - TREATED,003,TP,A,1637,1658,22,NC
